Property Name,Address,Total Rent,Bed,Bath,Move-In Date,Property Manager,Available Units,Neighborhood,Commission Paid
St Thomas,807 W 25TH,"$1,695",2,2,08/15/21,Austin Evolution,316,West Campus,30-60 Days Post Paperwork Completion
Sunchase ,3115 Helms,"$1,695",2,2,August-21,Metro Realty,116,North Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon Street 317 ,"$1,680",2,2,08/06/21,512 Living,317,West Campus,30-60 Days Post Paperwork Completion
Whitis Lofts,3011 Whitis Ave Apt 204 ,"$1,675",2,1,08/14/21,512 Living,204,North Campus,30-60 Days Post Paperwork Completion
Whitis Lofts,3011 Whitis Ave Apt 205 ,"$1,675",2,1,08/14/21,512 Living,205,North Campus,30-60 Days Post Paperwork Completion
Camino Real,2810 Salado,"$1,675 ",2,2,06/05/21,Marquis,223,West Campus,30-60 Days Post Paperwork Completion
Camino Real,2810 Salado,"$1,675 ",2,1,08/13/21,Marquis,119,West Campus,30-60 Days Post Paperwork Completion
Westview ,2804 Rio Grande,"$1,675",2,2,August-21,Metro Realty,302,West Campus,30-60 Days Post Paperwork Completion
St James ,2811 Rio Grande,"$1,675",2,2,08/01/21,PMT,303,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 201 ,"$1,660",2,2,08/06/21,512 Living,201,West Campus,30-60 Days Post Paperwork Completion
202 E 31st #A,202 E 31st,"$1,650",1,1,08/07/21,Respace,A,North Campus,30-60 Days Post Paperwork Completion
202 E 31st #B,202 E 31st,"$1,650",1,1,08/07/21,Respace,B,North Campus,30-60 Days Post Paperwork Completion
202 E 31st #C,202 E 31st #C,"$1,650",1,1,08/07/21,Respace,C,North Campus,30-60 Days Post Paperwork Completion
5405 Evans #B,5405 Evans #B,"$1,650",1,1,08/07/21,Respace,B,North Loop,30-60 Days Post Paperwork Completion
St. Thomas,807 West 25th Street,"$1,650",2,1,08/07/21,Copland/Said,205,West Campus,30-60 Days Post Paperwork Completion
Starwest,2408 Longview,"$1,650",2,2,08/10/21,Tower Realty,212,West Campus,30-60 Days Post Paperwork Completion
House/Duplex,3545 N Hills Dr Apt A ,"$1,650",2,1.5,07/16/21,512 Living,A,Northwest Hills,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$1,650",2,2,08/12/21,Respace,212,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$1,650",2,2,08/12/21,Respace,213,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$1,650",2,2,08/12/21,Respace,312,West Campus,30-60 Days Post Paperwork Completion
2712 Whitis,2712 Whitis,"$1,650",2,1,08/10/21,24th Street Realty,A,North Campus,30-60 Days Post Paperwork Completion
5102 Caswell,5102 Caswell,"$1,650",2,2,08/10/21,24th Street Realty,B,Hyde Park,30-60 Days Post Paperwork Completion
Croix,806 W 24th,"$1,650",2,1,08/07/21,Respace,315,West Campus,30-60 Days Post Paperwork Completion
4312 Duval Street,4312 Duval Street,"$1,650",2,1,08/01/21,Copland/Said,206,Hyde Park,30-60 Days Post Paperwork Completion
Orange Tree ,2529 Rio Grande,"$1,650",2,1.5,08/01/21,PMT,31,West Campus,30-60 Days Post Paperwork Completion
The Pointe,910 Duncan Lane,"$1,650",2,2,08/06/21,PMT,61,North Campus,30-60 Days Post Paperwork Completion
Mesa Village,4159 Steck Ave,"$1,650",2,2,Immediate,PMT,123,Northwest Hills,30-60 Days Post Paperwork Completion
2200 San Gabriel,2200 San Gabriel,"$1,650",2,2,08/07/21,Respace,301,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 209 ,"$1,640",2,2,08/06/21,512 Living,209,West Campus,30-60 Days Post Paperwork Completion
House/Duplex,3545 N Hills Dr Apt D ,"$1,625",2,1.5,06/18/21,512 Living,D,Northwest Hills,30-60 Days Post Paperwork Completion
St Charles,2413 Leon,"$1,625",2,1,08/07/21,Uptown Realty,106,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 210,"$1,620",1,1,08/06/21,512 Living,210,West Campus,30-60 Days Post Paperwork Completion
612 Park Place,612 Park Place,"$1,600",1,1,Immediate,PMT,303,North Campus,30-60 Days Post Paperwork Completion
Westview,2804 Rio Grande,"$1,600",2,2,08/10/21,Tower Realty,209,West Campus,30-60 Days Post Paperwork Completion
Tom Green,3115 Tom Green,"$1,600",2,1,08/10/21,Tower Realty,404,North Campus,30-60 Days Post Paperwork Completion
West University Place,808 W 29th,"$1,600",2,2,08/15/21,Tower Realty,302,West Campus,30-60 Days Post Paperwork Completion
1902 Nueces,1902 Nueces,"$1,600",2,1,08/10/21,24th Street Realty,"A, C, D",West Campus,30-60 Days Post Paperwork Completion
Buena Vista,1908 San Antonio,"$1,600",2,1,08/12/21,512 Living,312,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 108 ,"$1,600",2,2,08/07/21,512 Living,108,West Campus,30-60 Days Post Paperwork Completion
Whitis Lofts,3011 Whitis Ave Apt 105 ,"$1,600",2,1,07/31/21,512 Living,105,North Campus,30-60 Days Post Paperwork Completion
706 W. 22nd St,706 W. 22nd St,"$1,600",2,1,08/01/21,24th Street Realty,201,West Campus,30-60 Days Post Paperwork Completion
San Pedro Oaks,803 W 28th,"$1,595",2,2,08/10/21,Tower Realty,206,West Campus,30-60 Days Post Paperwork Completion
Gables,1808 Rio Grande,"$1,595",2,1.5,08/08/21,Uptown Realty,4,West Campus,30-60 Days Post Paperwork Completion
Winchester ,2414 Longview,"$1,595",2,2,08/08/21,UT Student Condos,206,West Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,585",2,1,08/11/21,University Realty,A202,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,585",2,1,08/11/21,University Realty,A203,North Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 213 ,"$1,580",2,2,08/06/21,512 Living,213,West Campus,30-60 Days Post Paperwork Completion
Westplace,2706 Salado,"$1,575",2,2,08/08/21,UT Student Condos,303,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 314 ,"$1,560",2,2,08/06/21,512 Living,314,West Campus,30-60 Days Post Paperwork Completion
Sterling Crest,3110 Red River,"$1,550",1,1,08/10/21,Tower Realty,201,North Campus,30-60 Days Post Paperwork Completion
Sterling Crest,3110 Red River,"$1,550",1,1,08/10/21,Tower Realty,310,North Campus,30-60 Days Post Paperwork Completion
Enfield,2605 Enfield,"$1,550",2,2.5,08/17/21,University Realty,208,Westfield,30-60 Days Post Paperwork Completion
617 W. 37th,617 W. 37th,"$1,550",2,1,08/17/21,University Realty,House,North Campus,30-60 Days Post Paperwork Completion
706 W. 34th,706 W. 34th,"$1,550",2,1,08/14/21,University Realty,101,Hyde Park,30-60 Days Post Paperwork Completion
706 W. 34th,706 W. 34th,"$1,550",2,1,08/14/21,University Realty,201,Hyde Park,30-60 Days Post Paperwork Completion
Hyde Park,3400 Speedway,"$1,550",2,1,August-21,Metro Realty,206,North Campus,30-60 Days Post Paperwork Completion
906 W 22nd St,906 W 22nd St,"$1,550",2,1,08/01/21,512 Living,4,West Campus,30-60 Days Post Paperwork Completion
7103 Treasure Cv,7103 Treasure Cv,"$1,550",2,1,08/07/21,Respace,12,South Austin,30-60 Days Post Paperwork Completion
St Thomas,807 W 25TH,"$1,550",2,1,08/08/21,UT Student Condos,312,West Campus,30-60 Days Post Paperwork Completion
Leon Condos,2220 Leon St,"$1,550",2,2,08/01/21,PMT,302,West Campus,30-60 Days Post Paperwork Completion
Gables,1808 Rio Grande,"$1,550",2,1.5,08/06/21,PMT,6,West Campus,30-60 Days Post Paperwork Completion
Sterling Crest,3110 Red River,"$1,550",1,1,08/10/21,Tower Realty,213,North Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 101 ,"$1,540",2,2,08/07/21,512 Living,101,West Campus,30-60 Days Post Paperwork Completion
106 E 30th,106 E 30th,"$1,525",2,1,08/07/21,Respace,A,North Campus,30-60 Days Post Paperwork Completion
600 W 51st,600 W 51st,"$1,525",2,1,08/05/21,Respace,103,North Loop,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 316 ,"$1,520",2,2,08/06/21,512 Living,316,West Campus,30-60 Days Post Paperwork Completion
Buena Vista Condos,1908 San Antonio,"$1,500",1,1,08/10/21,24th Street Realty,304,West Campus,30-60 Days Post Paperwork Completion
3404 Grooms,3404 Grooms,"$1,500",1,1,06/07/21,Austin Manage,A,North Campus,30-60 Days Post Paperwork Completion
St. Charles,2413 Leon Street,"$1,500",2,1,08/07/21,Copland/Said,102,West Campus,30-60 Days Post Paperwork Completion
House/Duplex,2213 Yellow Jacket Ln # A ,"$1,500",2,1,09/19/21,512 Living,A,SouthEast Austin,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 102 ,"$1,500",2,2,08/07/21,512 Living,102,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 105 ,"$1,500",2,2,08/07/21,512 Living,105,West Campus,30-60 Days Post Paperwork Completion
San Gabriel,2100 San Gabriel,"$1,500",2,1.5,08/17/21,University Realty,"301, 304",West Campus,30-60 Days Post Paperwork Completion
San Gabriel,2100 San Gabriel,"$1,500",2,1.5,08/17/21,University Realty,305,West Campus,30-60 Days Post Paperwork Completion
Nelray,601 Nelray,"$1,500",2,2,August-21,Metro Realty,15,North Loop,30-60 Days Post Paperwork Completion
San Pedro Oaks,803 W. 28th,"$1,500",2,2,August-21,Metro Realty,201,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$1,500",2,2,08/19/21,Austin Investments,110,West Campus,30-60 Days Post Paperwork Completion
2802 Nueces,2802 Nueces,"$1,500",2,1,Immediate,PMT,211,West Campus,30-60 Days Post Paperwork Completion
Croix,806 W 24th St,"$1,500",2,1,08/06/21,PMT,223,West Campus,30-60 Days Post Paperwork Completion
Nueces Corner ,2714 Nueces,"$1,500",2,2,08/06/21,PMT,207,West Campus,30-60 Days Post Paperwork Completion
San Gabriel Place ,2510 San Gabriel,"$1,500",2,2,August-21,Metro Realty,302,West Campus,30-60 Days Post Paperwork Completion
Salado,2704 Salado,"$1,499 ",2,2,06/05/21,Marquis,307,West Campus,30-60 Days Post Paperwork Completion
Oasis At Midtown,2301 Olhen Rd,"$1,495",3,2,08/07/21,Austin Manage,108,North Austin,30-60 Days Post Paperwork Completion
Pearl At Condominiums,2210 Pearl St,"$1,495",1,1,08/03/21,24th Street Realty,305,West Campus,30-60 Days Post Paperwork Completion
2529 Rio Grande,2529 Rio Grande,"$1,495",1,1.5,08/07/21,24th Street Realty,32,West Campus,30-60 Days Post Paperwork Completion
2831 Pearl #3,2831 Pearl #3,"$1,495",1,1,08/07/21,Respace,3,West Campus,30-60 Days Post Paperwork Completion
3304 Tom Green,3304 Tom Green,"$1,495",1,1,08/07/21,Respace,C,North Campus,30-60 Days Post Paperwork Completion
Sterling Crest,3110 Red River,"$1,495",1,1,08/07/21,Uptown Realty,C-401,North Campus,30-60 Days Post Paperwork Completion
601 Bellevue #D,601 Bellevue #D,"$1,495",1,1,08/07/21,Respace,D,North Campus,30-60 Days Post Paperwork Completion
San Gabriel West,1905 San Gabriel,"$1,495",2,1,08/10/21,Tower Realty,204,West Campus,30-60 Days Post Paperwork Completion
Stoneleigh,2409 Leon,"$1,495",2,2,08/10/21,Tower Realty,210,West Campus,30-60 Days Post Paperwork Completion
San Pedro Oaks,803 W 28th,"$1,495",2,2,08/10/21,Tower Realty,105,West Campus,30-60 Days Post Paperwork Completion
San Pedro Oaks,803 W 28th,"$1,495",2,2,08/10/21,Tower Realty,106,West Campus,30-60 Days Post Paperwork Completion
San Pedro Oaks,803 W 28th,"$1,495",2,2,08/10/21,Tower Realty,202,West Campus,30-60 Days Post Paperwork Completion
San Gabriel,2100 San Gabriel,"$1,495",2,1.5,08/17/21,University Realty,101,West Campus,30-60 Days Post Paperwork Completion
San Gabriel,2100 San Gabriel,"$1,495",2,1.5,08/17/21,University Realty,102,West Campus,30-60 Days Post Paperwork Completion
San Gabriel,2100 San Gabriel,"$1,495",2,1.5,08/17/21,University Realty,103,West Campus,30-60 Days Post Paperwork Completion
San Gabriel,2100 San Gabriel,"$1,495",2,1.5,08/17/21,University Realty,104,West Campus,30-60 Days Post Paperwork Completion
San Gabriel,2100 San Gabriel,"$1,495",2,1.5,08/17/21,University Realty,105,West Campus,30-60 Days Post Paperwork Completion
San Gabriel,2100 San Gabriel,"$1,495",2,1.5,08/17/21,University Realty,201,West Campus,30-60 Days Post Paperwork Completion
San Gabriel,2100 San Gabriel,"$1,495",2,1.5,08/17/21,University Realty,203,West Campus,30-60 Days Post Paperwork Completion
San Gabriel,2100 San Gabriel,"$1,495",2,1.5,08/17/21,University Realty,204,West Campus,30-60 Days Post Paperwork Completion
San Gabriel,2100 San Gabriel,"$1,495",2,1.5,08/17/21,University Realty,205,West Campus,30-60 Days Post Paperwork Completion
1135 Lott Avenue,1135 Lott Avenue,"$1,495",2,1,08/07/21,Respace,A,East Austin,30-60 Days Post Paperwork Completion
1304 Summit,1304 Summit,"$1,495",2,1,08/07/21,Respace,206,Riverside,30-60 Days Post Paperwork Completion
2116 Gaston Pl,2116 Gaston Pl,"$1,495",2,2,08/04/21,Respace,B,North Austin,30-60 Days Post Paperwork Completion
Hyde Park Townhomes,303 W 40th St,"$1,495",2,1,07/27/21,24th Street Realty,"101, 105, 106, 107, 109, 110, 112",Hyde Park,30-60 Days Post Paperwork Completion
Diplomat,1911 San Gabriel,"$1,495",2,1,08/21/21,The Westside Group,2-1,West Campus,30-60 Days Post Paperwork Completion
Winchester ,2414 Longview,"$1,495",2,2,08/08/21,UT Student Condos,210,West Campus,30-60 Days Post Paperwork Completion
Westplace,2706 Salado,"$1,495",2,2,08/08/21,UT Student Condos,205,West Campus,30-60 Days Post Paperwork Completion
1103 W 22nd,1103 W 22nd,"$1,495",2,1,08/07/21,Respace,C,West Campus,30-60 Days Post Paperwork Completion
Nelray,601 Nelray,"$1,450",3,2,August-21,Metro Realty,14,North Loop,30-60 Days Post Paperwork Completion
Stonesthrow ,2311 Nueces,"$1,450",1,1,August-21,Metro Realty,302,West Campus,30-60 Days Post Paperwork Completion
Croix,806 W. 24th St,"$1,450",1,1,08/03/21,PMT,308,West Campus,30-60 Days Post Paperwork Completion
Longview Terrace,2313 Longview,"$1,450",2,1,08/10/21,Tower Realty,101,West Campus,30-60 Days Post Paperwork Completion
Castle Arms,3121 Speedway,"$1,450 ",2,1,08/18/21,Marquis,-,North Campus,30-60 Days Post Paperwork Completion
Starwest ,2408 Longview,"$1,450",2,2,August-21,Metro Realty,112,West Campus,30-60 Days Post Paperwork Completion
Starwest ,2408 Longview,"$1,450",2,1,August-21,Metro Realty,210,West Campus,30-60 Days Post Paperwork Completion
Bruning Lofts,5100 Bruning,"$1,450",2,1.5,08/07/21,Uptown Realty,101,North Loop,30-60 Days Post Paperwork Completion
Salado,2704 Salado,"$1,449 ",2,2,06/05/21,Marquis,102,West Campus,30-60 Days Post Paperwork Completion
Buckingham,711 W 32nd St,"$1,445",1,1,08/16/21,Austin Residence,112,North Campus,30-60 Days Post Paperwork Completion
Buckingham,711 W 32nd St,"$1,445",1,1,08/18/21,Austin Residence,"126, 124",North Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,425",1,1,08/02/21,512 Living,101,West Campus,30-60 Days Post Paperwork Completion
Red River,4701 Red River St,$875,0,1,August-21,Metro Realty,"302, 102",Hyde Park,30-60 Days Post Paperwork Completion
Dj House,4608 Bennett,$900,1,1,07/27/21,24th Street Realty,"102, 103, 106, 203, 204, 206",Hyde Park,30-60 Days Post Paperwork Completion
2612 San Pedro,2612 San Pedro,"$1,425",1,1,08/13/21,SSPM,102,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 103 ,"$1,400",1,1,08/07/21,512 Living,103,West Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,400",1,1,08/02/21,512 Living,201,West Campus,30-60 Days Post Paperwork Completion
Studio 45,4504 Speedway Apt 105 ,$950,0,1,12/04/21,512 Living,107,Hyde Park,30-60 Days Post Paperwork Completion
Centennial,501 W 26th St,"$1,400",1,1,08/07/21,24th Street Realty,303,West Campus,30-60 Days Post Paperwork Completion
3404 1/2 Grooms,3404 1/2 Grooms,"$1,400",1,1,08/01/21,Austin Manage,A,North Campus,30-60 Days Post Paperwork Completion
Aspenwood,4553 Guadalupe St,$950,1,1,08/20/21,Austin Residence,"B105, B213, B215, B301, B303, B315",Hyde Park,30-60 Days Post Paperwork Completion
House/Duplex,2213 Yellow Jacket Ln # B,"$1,400",2,1,08/05/21,512 Living,B,SouthEast Austin,30-60 Days Post Paperwork Completion
Casa De Salado,2610 Salado,"$1,400",2,1,08/15/21,University Realty,110,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2610 Salado,"$1,400",2,1,08/15/21,University Realty,112,West Campus,30-60 Days Post Paperwork Completion
Casa De Salado,2610 Salado,"$1,400",2,1,08/15/21,University Realty,210,West Campus,30-60 Days Post Paperwork Completion
5813 Wellington Drive,5813 Wellington Drive,"$1,400",2,1,06/30/21,Austin Manage,A,Winsor Park,30-60 Days Post Paperwork Completion
Hyde Park Terrace,303 W 35th St,"$1,400",2,2,08/01/21,PMT,304,North Campus,30-60 Days Post Paperwork Completion
Centennial,501 W 26th St,"$1,400",1+Study,1,08/03/21,24th Street Realty,123,West Campus,30-60 Days Post Paperwork Completion
Camino Real,2810 Salado,"$1,399 ",1,1,08/13/21,Marquis,211,West Campus,30-60 Days Post Paperwork Completion
Buckingham,711 W 32nd St,"$1,395",1,1,08/16/21,Austin Residence,"106, 109, 116, 118, 122, 130, 135, 136, 145",North Campus,30-60 Days Post Paperwork Completion
Buckingham,711 W 32nd St,"$1,395",1,1,08/18/21,Austin Residence,"105, 108, 114, 119, 123, 129, 132, 134, 144",North Campus,30-60 Days Post Paperwork Completion
Buckingham,711 W 32nd St,"$1,395",1,1,06/01/21,Austin Residence,133,North Campus,30-60 Days Post Paperwork Completion
Stonesthrow ,2311 Nueces,"$1,395",1,1,August-21,Metro Realty,204,West Campus,30-60 Days Post Paperwork Completion
Landmark Square ,706 W. 22nd,"$1,395",1,1,August-21,Metro Realty,203,West Campus,30-60 Days Post Paperwork Completion
Nelray Place,601 Nelray,"$1,395",2,2,08/01/21,UT Student Condos,3,Hyde Park,30-60 Days Post Paperwork Completion
Treehouse ,2612 San Pedro,"$1,395",1,1,August-21,Metro Realty,101,West Campus,30-60 Days Post Paperwork Completion
Aspenwood,4553 Guadalupe St,$950,1,1,08/23/21,Austin Residence,"A207, A303, A309, B201",Hyde Park,30-60 Days Post Paperwork Completion
Pointe Condomimiums,910 Duncan Lane,"$1,375",1,1,07/01/21,Austin Manage,45,North Campus,30-60 Days Post Paperwork Completion
Mullen Drive,7914 Mullen Drive,"$1,375",2,1,07/17/21,Austin Manage,105,North Austin,30-60 Days Post Paperwork Completion
1803 Nueces,1803 Nueces,"$1,350",1,1,08/07/21,Copland/Said,House,West Campus,30-60 Days Post Paperwork Completion
3400 Speedway,3400 Speedway,"$1,350",1,1,08/07/21,Copland/Said,310,North Campus,30-60 Days Post Paperwork Completion
Texan Shoal Creek,2502 Leon St,"$1,350",1,1,08/10/21,Tower Realty,100,West Campus,30-60 Days Post Paperwork Completion
Croix,806 W. 24th,"$1,350",1,1,08/15/21,University Realty,206,West Campus,30-60 Days Post Paperwork Completion
Hyde Park Oaks,114 E 31st,"$1,350",1,1,08/07/21,Respace,204,North Campus,30-60 Days Post Paperwork Completion
Centennial ,501 W 26th,"$1,350",1,1,August-21,Metro Realty,304,West Campus,30-60 Days Post Paperwork Completion
Centennial ,501 W 26th,"$1,350",1,1,August-21,Metro Realty,328,West Campus,30-60 Days Post Paperwork Completion
Greenwood Towers,1800 Lavaca,"$1,350",1,1,08/07/21,Uptown Realty,705,West Campus,30-60 Days Post Paperwork Completion
Preservation Square,901 W 22nd,"$1,350",1,1,08/07/21,Respace,202,West Campus,30-60 Days Post Paperwork Completion
915 West 23rd Street,915 West 23rd Street,"$1,350",1,1,08/07/21,Copland/Said,111,West Campus,30-60 Days Post Paperwork Completion
Nueces Corner ,2714 Nueces,"$1,350",2,1,August-21,Metro Realty,202,West Campus,30-60 Days Post Paperwork Completion
Oasis At Midtown,2301 Olhen Rd,"$1,350",2,1.5,Immediate,Austin Manage,102,North Austin,30-60 Days Post Paperwork Completion
2210 Pearl,2210 Pearl,"$1,350",2,1,08/07/21,Uptown Realty,306,West Campus,30-60 Days Post Paperwork Completion
Whitis Lofts,3011 Whitis Ave Apt 207 ,"$1,330",1,1,08/14/21,512 Living,207,North Campus,30-60 Days Post Paperwork Completion
Benchmark,3001 Cedar,"$1,325",1,1,08/10/21,Tower Realty,209,North Campus,30-60 Days Post Paperwork Completion
Aspenwood,4539 Guadalupe St,$950,1,1,08/20/21,Austin Residence,"A101, A103, A203, A216",Hyde Park,30-60 Days Post Paperwork Completion
3203 Guadalupe,3203 Guadalupe,"$1,325",1,1,August-21,Metro Realty,House,North Campus,30-60 Days Post Paperwork Completion
Heritage Condominiums,3111 Tom Green,"$1,325",1,1,08/03/21,24th Street Realty,206,North Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 200 ,"$1,300",0,1,08/06/21,512 Living,200,West Campus,30-60 Days Post Paperwork Completion
Winflo,808 Winflo Dr Apt 208 ,"$1,300",0,1,10/15/21,512 Living,208,Downtown,30-60 Days Post Paperwork Completion
Texan Shoal Creek,2502 Leon St,"$1,300",1,1,08/10/21,Tower Realty,303,West Campus,30-60 Days Post Paperwork Completion
Texan Shoal Creek,2502 Leon St,"$1,300",1,1,08/10/21,Tower Realty,418,West Campus,30-60 Days Post Paperwork Completion
Texan Shoal Creek,2502 Leon St,"$1,300",1,1,08/10/21,Tower Realty,"313, 503",West Campus,30-60 Days Post Paperwork Completion
Cottonwood,4409 Guadalupe,$950,1,1,08/14/21,University Realty,8,Hyde Park,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 303 ,"$1,300",1,1,08/06/21,512 Living,303,West Campus,30-60 Days Post Paperwork Completion
Cottonwood,4409 Guadalupe,$950,1,1,08/14/21,University Realty,9,Hyde Park,30-60 Days Post Paperwork Completion
Nelray Place,601 Nelray,$950,1,1,08/06/21,PMT,7,Hyde Park,30-60 Days Post Paperwork Completion
Hyde Park Court,302 W 38th St,$975,1,1,08/21/21,The Westside Group,1-1,Hyde Park,30-60 Days Post Paperwork Completion
Pointe Condomimiums,910 Duncan Lane,"$1,300",1,1,08/18/21,Austin Manage,64,North Campus,30-60 Days Post Paperwork Completion
Croix,806 W. 24th St,"$1,300",1,1,08/01/21,PMT,117,West Campus,30-60 Days Post Paperwork Completion
San Pedro Square,2704 San Pedro St,"$1,300",1,1,08/01/21,PMT,12,West Campus,30-60 Days Post Paperwork Completion
Buena Vista,1908 San Antonio St,"$1,300",1,1,08/01/21,PMT,103,West Campus,30-60 Days Post Paperwork Completion
Starwest,2408 Longview,"$1,300",2,1,08/14/21,University Realty,110,West Campus,30-60 Days Post Paperwork Completion
Starwest,2408 Longview,"$1,300",2,1,08/14/21,University Realty,111,West Campus,30-60 Days Post Paperwork Completion
Nelray,601 Nelray,"$1,300",2,2,August-21,Metro Realty,5,North Loop,30-60 Days Post Paperwork Completion
Croix,806 W. 24th St,"$1,300",2,1,05/01/21,PMT,325,West Campus,30-60 Days Post Paperwork Completion
Vanderbilt,912 West 22nd Street,"$1,299 ",1,1,08/08/21,Marquis,306,West Campus,30-60 Days Post Paperwork Completion
2000 Whitis Pl,2000 Whitis Pl,"$1,295",1,1,08/07/21,Copland/Said,309,West Campus,30-60 Days Post Paperwork Completion
Beehive,4209 Avenue B Apt 105 ,"$1,000",0,1,07/30/21,512 Living,105,Hyde Park,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,295",1,1,08/01/21,512 Living,203,West Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,295",1,1,08/01/21,512 Living,206,West Campus,30-60 Days Post Paperwork Completion
3111 Grooms,3111 Grooms,"$1,295",1,1,08/07/21,Respace,"A, B",North Campus,30-60 Days Post Paperwork Completion
Galileo,910 W 25th St,"$1,295",1,1,08/05/21,Austin Residence,"410, 510",West Campus,30-60 Days Post Paperwork Completion
Centennial ,501 W 26th,"$1,295",1,1,August-21,Metro Realty,312,West Campus,30-60 Days Post Paperwork Completion
Pearl Street Condos,2210 Pearl St,"$1,295",1,1,08/07/21,Austin Evolution,206,West Campus,30-60 Days Post Paperwork Completion
Greenwood Towers,1800 Lavaca,"$1,295",1,1,Immediate,PMT,204,Downtown,30-60 Days Post Paperwork Completion
Aspenwood,4539 Guadalupe St,"$1,295",2,1,08/09/21,Austin Residence,A210,Hyde Park,30-60 Days Post Paperwork Completion
Aspenwood,4539 Guadalupe St,"$1,295",2,1,08/20/21,Austin Residence,"A214, A302, A310",Hyde Park,30-60 Days Post Paperwork Completion
Aspenwood,4553 Guadalupe St,"$1,295",2,1,08/23/21,Austin Residence,"B206, B214",Hyde Park,30-60 Days Post Paperwork Completion
Aspenwood,4553 Guadalupe St,"$1,295",2,1,08/20/21,Austin Residence,"B202, B210",Hyde Park,30-60 Days Post Paperwork Completion
Aspenwood,4539 Guadalupe St,"$1,295",2,1,07/28/21,Austin Residence,A202,Hyde Park,30-60 Days Post Paperwork Completion
Aspenwood,4539 Guadalupe St,"$1,295",2,1,08/09/21,Austin Residence,A314,Hyde Park,30-60 Days Post Paperwork Completion
Aspenwood,4553 Guadalupe St,"$1,295",2,1,08/20/21,Austin Residence,B310,Hyde Park,30-60 Days Post Paperwork Completion
Hyde Park Court,302 W 38th St,"$1,295",2,1,08/21/21,The Westside Group,2-1,Hyde Park,30-60 Days Post Paperwork Completion
Whitis Lofts,3011 Whitis Ave Apt 106 ,"$1,290",1,1,07/31/21,512 Living,106,North Campus,30-60 Days Post Paperwork Completion
Whitis Lofts,3011 Whitis Ave Apt 201 ,"$1,290",1,1,08/14/21,512 Living,201,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2706 Cole,"$1,285",1,1,08/11/21,University Realty,B202,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2706 Cole,"$1,285",1,1,08/11/21,University Realty,B203,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2706 Cole,"$1,285",1,1,08/11/21,University Realty,B204,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2706 Cole,"$1,285",1,1,08/11/21,University Realty,B205,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2706 Cole,"$1,285",1,1,08/11/21,University Realty,B206,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,285",1,1,08/11/21,University Realty,C207,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,285",1,1,08/11/21,University Realty,C209,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,285",1,1,07/07/21,University Realty,C210,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,285",1,1,08/11/21,University Realty,C211,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,285",1,1,08/11/21,University Realty,C213,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,285",1,1,08/11/21,University Realty,C214,North Campus,30-60 Days Post Paperwork Completion
